company,product,typename,gpu,opsys,inches,width,height,clock_speed,ram,disk_size,weight,ubm_effective_speed,price_euros
Apple,MacBook Pro,Ultrabook,Intel Iris Plus Graphics 640,macOS,13.3,2560,1600,2.3,8,128,1.37,7.49,1339.69
Apple,Macbook Air,Ultrabook,Intel HD Graphics 6000,macOS,13.3,1440,900,1.8,8,128,1.34,5.88,898.94
HP,250 G6,Notebook,Intel HD Graphics 620,No OS,15.6,1920,1080,2.5,8,256,1.86,4.54,575.0
Apple,MacBook Pro,Ultrabook,Intel Iris Plus Graphics 650,macOS,13.3,2560,1600,3.1,8,256,1.37,8.55,1803.6
Acer,Aspire 3,Notebook,AMD Radeon R5,Windows 10,15.6,1366,768,3.0,4,500,2.1,2.05,400.0
Apple,Macbook Air,Ultrabook,Intel HD Graphics 6000,macOS,13.3,1440,900,1.8,8,256,1.34,5.88,1158.7
Asus,ZenBook UX430UN,Ultrabook,Nvidia GeForce MX150,Windows 10,14.0,1920,1080,1.8,16,512,1.3,13.7,1495.0
Acer,Swift 3,Ultrabook,Intel UHD Graphics 620,Windows 10,14.0,1920,1080,1.6,8,256,1.6,4.8,770.0
HP,250 G6,Notebook,Intel HD Graphics 620,No OS,15.6,1366,768,2.5,4,500,1.86,4.54,393.9
HP,250 G6,Notebook,Intel HD Graphics 520,No OS,15.6,1920,1080,2.0,4,500,1.86,4.2,344.99
Apple,"MacBook 12""",Ultrabook,Intel HD Graphics 615,macOS,12.0,2304,1440,1.2,8,256,0.92,3.4,1262.4
Apple,MacBook Pro,Ultrabook,Intel Iris Plus Graphics 640,macOS,13.3,2560,1600,2.3,8,256,1.37,7.49,1518.55
Lenovo,IdeaPad 320-15IKB,Notebook,Nvidia GeForce 940MX,No OS,15.6,1920,1080,2.4,8,1000,2.2,8.62,499.0
Dell,XPS 13,Ultrabook,Intel UHD Graphics 620,Windows 10,13.3,1920,1080,1.6,8,128,1.22,4.8,979.0
Asus,Vivobook E200HA,Netbook,Intel HD Graphics 400,Windows 10,11.6,1366,768,1.44,2,32,0.98,3.18,191.9
Lenovo,Legion Y520-15IKBN,Gaming,Nvidia GeForce GTX 1050,Windows 10,15.6,1920,1080,2.5,8,1128,2.5,25.7,999.0
Dell,Inspiron 5379,2 in 1 Convertible,Intel UHD Graphics 620,Windows 10,13.3,1920,1080,1.6,8,256,1.62,4.8,819.0
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,Intel HD Graphics 620,Windows 10,15.6,1920,1080,1.8,8,256,1.91,4.54,659.0
Dell,Inspiron 3567,Notebook,Intel HD Graphics 520,Windows 10,15.6,1366,768,2.0,4,1000,2.3,4.2,418.64
Apple,MacBook Air,Ultrabook,Intel HD Graphics 6000,Mac OS X,13.3,1440,900,1.6,8,128,1.35,5.88,1099.0
Dell,Inspiron 5570,Notebook,AMD Radeon 530,Windows 10,15.6,1920,1080,1.6,8,256,2.2,6.64,800.0
Dell,Latitude 5590,Ultrabook,Intel UHD Graphics 620,Windows 10,15.6,1920,1080,1.9,8,256,1.88,4.8,1298.0
HP,ProBook 470,Notebook,Nvidia GeForce 930MX,Windows 10,17.3,1920,1080,1.6,8,1000,2.5,7.91,896.0
Chuwi,"LapBook 15.6""",Notebook,Intel HD Graphics,Windows 10,15.6,1920,1080,1.44,4,64,1.89,1.56,244.99
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,AMD Radeon 530,Windows 10,17.3,1920,1080,2.5,4,500,2.71,6.64,439.0
Dell,XPS 13,Ultrabook,Intel UHD Graphics 620,Windows 10,13.3,3200,1800,1.8,16,512,1.2,4.8,1869.0
Apple,MacBook Air,Ultrabook,Intel HD Graphics 6000,Mac OS X,13.3,1440,900,1.6,8,256,1.35,5.88,998.0
Lenovo,IdeaPad 120S-14IAP,Notebook,Intel HD Graphics 500,Windows 10,14.0,1366,768,1.1,4,64,1.44,3.44,249.0
Acer,Aspire 3,Notebook,Intel HD Graphics 620,Linux,15.6,1366,768,2.7,4,1000,2.1,4.54,367.0
Dell,Inspiron 5770,Notebook,AMD Radeon 530,Windows 10,17.3,1920,1080,1.6,8,1128,2.8,6.64,979.0
HP,250 G6,Notebook,Intel HD Graphics 620,Windows 10,15.6,1366,768,2.5,4,1000,1.86,4.54,488.69
HP,ProBook 450,Notebook,Nvidia GeForce 930MX,Windows 10,15.6,1920,1080,1.6,8,256,2.1,7.91,879.0
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,Intel HD Graphics 620,Linux,15.6,1920,1080,2.0,4,1000,2.0,4.54,389.0
Dell,Inspiron 7577,Gaming,Nvidia GeForce GTX 1060,Windows 10,15.6,1920,1080,2.8,16,1256,2.65,46.7,1499.0
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,Nvidia GeForce 940MX,Linux,15.6,1366,768,2.5,8,1000,2.3,8.62,522.99
Acer,Aspire A515-51G,Notebook,Intel UHD Graphics 620,Windows 10,15.6,1920,1080,1.6,4,256,2.2,4.8,682.0
Dell,Inspiron 7773,2 in 1 Convertible,Nvidia GeForce 150MX,Windows 10,17.3,1920,1080,1.6,12,1000,2.77,8.32,999.0
Apple,MacBook Pro,Ultrabook,Intel Iris Graphics 540,macOS,13.3,2560,1600,2.0,8,256,1.37,7.52,1419.0
Lenovo,IdeaPad 320-15ISK,Notebook,Intel HD Graphics 520,No OS,15.6,1366,768,2.0,4,128,2.2,4.2,369.0
Asus,Rog Strix,Gaming,AMD Radeon RX 580,Windows 10,17.3,1920,1080,3.0,8,1256,3.2,51.6,1299.0
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,Nvidia GeForce 920MX,Windows 10,17.3,1366,768,1.1,4,1000,2.8,5.76,466.0
Lenovo,Yoga Book,2 in 1 Convertible,Intel HD Graphics 400,Android,10.1,1920,1200,1.44,4,64,0.69,3.18,319.0
Acer,Aspire A515-51G,Notebook,Nvidia GeForce MX150,Windows 10,15.6,1920,1080,1.8,8,256,2.2,13.7,841.0
HP,255 G6,Notebook,AMD Radeon R4 Graphics,Windows 10,15.6,1920,1080,2.5,4,256,1.86,2.31,398.49
HP,ProBook 430,Notebook,Intel UHD Graphics 620,Windows 10,13.3,1920,1080,1.8,8,512,1.49,4.8,1103.0
Acer,Aspire 3,Notebook,Intel HD Graphics 620,Windows 10,15.6,1366,768,2.4,4,1000,2.4,4.54,384.0
Dell,Inspiron 3576,Notebook,AMD Radeon 520,Windows 10,15.6,1920,1080,1.8,8,256,2.13,4.96,767.8
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,Intel HD Graphics 520,Windows 10,15.6,1920,1080,2.0,4,128,1.91,4.2,439.0
Asus,VivoBook Max,Notebook,Intel HD Graphics 620,Windows 10,15.6,1366,768,2.5,4,256,2.0,4.54,586.19
MSI,GS73VR 7RG,Gaming,Nvidia GeForce GTX 1070,Windows 10,17.3,1920,1080,2.8,16,2256,2.43,79.7,2449.0
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,Intel HD Graphics 520,Linux,15.6,1920,1080,2.0,4,256,2.0,4.2,415.0
Dell,Inspiron 5770,Notebook,AMD Radeon 530,Windows 10,17.3,1920,1080,1.8,16,2256,2.8,6.64,1299.0
Dell,Vostro 5471,Ultrabook,Intel UHD Graphics 620,Windows 10,14.0,1920,1080,1.6,8,256,1.7,4.8,879.0
Lenovo,IdeaPad 520S-14IKB,Notebook,Intel HD Graphics 620,No OS,14.0,1920,1080,2.7,8,256,1.7,4.54,599.0
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,Intel UHD Graphics 620,Windows 10,14.0,1920,1080,1.6,8,256,1.4,4.8,941.0
HP,250 G6,Notebook,Intel HD Graphics 620,Windows 10,15.6,1920,1080,2.5,8,256,1.86,4.54,690.0
Asus,ZenBook Pro,Ultrabook,Nvidia GeForce GTX 1050 Ti,Windows 10,15.6,1920,1080,2.8,16,512,1.8,29.3,1983.0
HP,250 G6,Notebook,AMD Radeon 520,Windows 10,15.6,1366,768,2.0,4,500,1.86,4.96,438.69
HP,Stream 14-AX040wm,Notebook,Intel HD Graphics 400,Windows 10,14.0,1366,768,1.6,4,32,1.44,3.18,229.0
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,Intel HD Graphics 620,Windows 10,15.6,1920,1080,2.5,4,1000,1.9,4.54,549.0
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,Nvidia GeForce GTX 1050 Ti,Linux,17.3,1920,1080,2.8,12,1000,3.0,29.3,949.0
Microsoft,Surface Laptop,Ultrabook,Intel HD Graphics 620,Windows 10 S,13.5,2256,1504,2.5,4,128,1.252,4.54,1089.0
Dell,Inspiron 5370,Ultrabook,AMD Radeon 530,Windows 10,13.3,1920,1080,1.8,8,256,1.4,6.64,955.0
Dell,Inspiron 5570,Notebook,AMD Radeon 530,Windows 10,15.6,1920,1080,1.8,8,256,2.2,6.64,870.0
MSI,GL72M 7RDX,Gaming,Nvidia GeForce GTX 1050,Windows 10,17.3,1920,1080,2.5,8,1128,2.7,25.7,1095.0
Acer,Aspire E5-475,Notebook,Intel HD Graphics 520,Windows 10,14.0,1366,768,2.0,8,1000,2.1,4.2,389.0
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,Nvidia GeForce GTX 1050,Windows 10,15.6,1920,1080,2.8,8,1000,2.2,25.7,949.0
Lenovo,IdeaPad 320-15IKBN,Notebook,Intel HD Graphics 620,No OS,15.6,1920,1080,2.5,8,2000,2.2,4.54,519.0
Dell,Inspiron 5570,Notebook,Intel UHD Graphics 620,Windows 10,15.6,1920,1080,1.8,8,1128,2.02,4.8,855.0
Acer,Aspire A515-51G-32MX,Notebook,Nvidia GeForce MX130,Windows 10,15.6,1920,1080,2.7,4,1000,2.2,8.96,530.0
HP,ProBook 470,Notebook,Nvidia GeForce 930MX,Windows 10,17.3,1920,1080,1.6,8,1128,2.5,7.91,977.0
Dell,Latitude 5590,Ultrabook,Intel UHD Graphics 620,Windows 10,15.6,1920,1080,1.6,8,256,1.88,4.8,1096.16
Apple,"MacBook 12""",Ultrabook,Intel HD Graphics 615,macOS,12.0,2304,1440,1.3,8,512,0.92,3.4,1510.0
HP,ProBook 440,Notebook,Intel HD Graphics 620,Windows 10,14.0,1920,1080,1.6,8,256,1.63,4.54,860.0
Acer,Aspire 3,Notebook,AMD Radeon R5,Windows 10,15.6,1366,768,3.0,4,1000,2.1,2.05,395.0
Dell,Inspiron 7577,Gaming,Nvidia GeForce GTX 1050 Ti,Windows 10,15.6,1920,1080,2.8,16,1128,2.65,29.3,1349.0
HP,Pavilion 15-CK000nv,Ultrabook,Nvidia GeForce GTX 940MX,Windows 10,15.6,1920,1080,1.8,8,256,1.83,9.0,699.0
HP,250 G6,Notebook,Intel HD Graphics 620,Windows 10,15.6,1920,1080,2.5,8,256,1.96,4.54,598.99
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,Nvidia GeForce GTX 1060,Windows 10,15.6,1920,1080,2.8,16,1128,2.2,46.7,1449.0
Dell,XPS 13,Ultrabook,Intel UHD Graphics 620,Windows 10,13.3,1920,1080,1.8,8,256,1.21,4.8,1649.0
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,AMD Radeon RX 560,Windows 10,15.6,1920,1080,3.0,8,1000,2.45,22.0,699.0
Acer,Aspire 5,Notebook,Nvidia GeForce MX150,Windows 10,15.6,1920,1080,1.8,8,1000,2.2,13.7,689.0
HP,Probook 430,Notebook,Intel UHD Graphics 620,Windows 10,13.3,1920,1080,1.8,16,512,1.49,4.8,1197.0
Dell,Inspiron 7577,Gaming,Nvidia GeForce GTX 1060,Windows 10,15.6,1920,1080,2.5,8,256,2.65,46.7,1195.0
Asus,Zenbook UX430UA,Ultrabook,Intel HD Graphics 620,Windows 10,14.0,1920,1080,2.7,8,256,1.25,4.54,1049.0
Acer,Spin 5,2 in 1 Convertible,Intel UHD Graphics 620,Windows 10,13.3,1920,1080,1.6,8,256,1.5,4.8,847.0
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,Nvidia GeForce 920M,Windows 10,15.6,1920,1080,2.4,6,256,2.0,5.76,577.0
HP,Omen 15-ce007nv,Gaming,Nvidia GeForce GTX 1050,Windows 10,15.6,1920,1080,2.8,12,1128,2.62,25.7,1249.0
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,AMD Radeon 530,Windows 10,15.6,1920,1080,2.7,8,256,1.91,6.64,719.0
Dell,Inspiron 3576,Notebook,AMD Radeon 520,Linux,15.6,1920,1080,1.6,8,1000,2.2,4.96,647.0
HP,Envy 13-ad009n,Ultrabook,Nvidia GeForce MX150,Windows 10,13.3,1920,1080,2.7,8,256,1.38,13.7,1119.0
Microsoft,Surface Laptop,Ultrabook,Intel HD Graphics 620,Windows 10 S,13.5,2256,1504,2.5,8,256,1.252,4.54,1340.0
HP,Pavilion 14-BK001nv,Notebook,Nvidia GeForce 940MX,Windows 10,14.0,1920,1080,2.5,6,256,1.58,8.62,659.0
Lenovo,Ideapad 310-15ISK,Notebook,Intel HD Graphics 520,Windows 10,15.6,1920,1080,2.0,4,1000,1.85,4.2,414.9
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,Nvidia GeForce 940MX,Windows 10,14.0,1920,1080,2.7,8,256,1.3,8.62,1193.0
MSI,GP62M 7REX,Gaming,Nvidia GeForce GTX 1050 Ti,Windows 10,15.6,1920,1080,2.8,16,1256,2.2,29.3,1299.0
Lenovo,Thinkpad T470,Notebook,Intel HD Graphics 620,Windows 10,14.0,1920,1080,2.7,8,256,1.58,4.54,1480.0
Asus,VivoBook S15,Ultrabook,Nvidia GeForce MX150,Windows 10,15.6,1920,1080,1.8,16,1256,1.5,13.7,1262.0
Dell,XPS 13,Ultrabook,Intel Iris Plus Graphics 640,Windows 10,13.3,3200,1800,2.4,8,256,1.23,7.49,1379.0
Lenovo,ThinkPad Yoga,2 in 1 Convertible,Intel HD Graphics 620,Windows 10,13.3,1920,1080,2.5,8,256,1.37,4.54,1399.0
HP,Probook 440,Notebook,Intel UHD Graphics 620,Windows 10,14.0,1366,768,1.6,4,500,1.63,4.8,722.0
Dell,XPS 13,Ultrabook,Intel UHD Graphics 620,Windows 10,13.3,1920,1080,1.6,8,256,1.21,4.8,1629.0
HP,Spectre x360,2 in 1 Convertible,Intel UHD Graphics 620,Windows 10,13.3,1920,1080,1.6,8,256,1.26,4.8,1398.99
HP,Probook 440,Notebook,Intel UHD Graphics 620,Windows 10,14.0,1920,1080,1.8,8,512,1.63,4.8,1084.0
Dell,Inspiron 7570,Notebook,Nvidia GeForce 940MX,Windows 10,15.6,1920,1080,1.8,8,1256,2.16,8.62,1130.33
