typename,inches,width,height,clock_speed,ram,disk_size,weight,ubm_effective_speed,price_euros
Ultrabook,13.3,2560,1600,2.3,8,128,1.37,7.49,1339.69
Ultrabook,13.3,1440,900,1.8,8,128,1.34,5.88,898.94
Notebook,15.6,1920,1080,2.5,8,256,1.86,4.54,575.0
Ultrabook,13.3,2560,1600,3.1,8,256,1.37,8.55,1803.6
Notebook,15.6,1366,768,3.0,4,500,2.1,2.05,400.0
Ultrabook,13.3,1440,900,1.8,8,256,1.34,5.88,1158.7
Ultrabook,14.0,1920,1080,1.8,16,512,1.3,13.7,1495.0
Ultrabook,14.0,1920,1080,1.6,8,256,1.6,4.8,770.0
Notebook,15.6,1366,768,2.5,4,500,1.86,4.54,393.9
Notebook,15.6,1920,1080,2.0,4,500,1.86,4.2,344.99
Ultrabook,12.0,2304,1440,1.2,8,256,0.92,3.4,1262.4
Ultrabook,13.3,2560,1600,2.3,8,256,1.37,7.49,1518.55
Notebook,15.6,1920,1080,2.4,8,1000,2.2,8.62,499.0
Ultrabook,13.3,1920,1080,1.6,8,128,1.22,4.8,979.0
Netbook,11.6,1366,768,1.44,2,32,0.98,3.18,191.9
Gaming,15.6,1920,1080,2.5,8,1128,2.5,25.7,999.0
2 in 1 Convertible,13.3,1920,1080,1.6,8,256,1.62,4.8,819.0
Ultrabook,15.6,1920,1080,1.8,8,256,1.91,4.54,659.0
Notebook,15.6,1366,768,2.0,4,1000,2.3,4.2,418.64
Ultrabook,13.3,1440,900,1.6,8,128,1.35,5.88,1099.0
Notebook,15.6,1920,1080,1.6,8,256,2.2,6.64,800.0
Ultrabook,15.6,1920,1080,1.9,8,256,1.88,4.8,1298.0
Notebook,17.3,1920,1080,1.6,8,1000,2.5,7.91,896.0
Notebook,15.6,1920,1080,1.44,4,64,1.89,1.56,244.99
Notebook,17.3,1920,1080,2.5,4,500,2.71,6.64,439.0
Ultrabook,13.3,3200,1800,1.8,16,512,1.2,4.8,1869.0
Ultrabook,13.3,1440,900,1.6,8,256,1.35,5.88,998.0
Notebook,14.0,1366,768,1.1,4,64,1.44,3.44,249.0
Notebook,15.6,1366,768,2.7,4,1000,2.1,4.54,367.0
Notebook,17.3,1920,1080,1.6,8,1128,2.8,6.64,979.0
Notebook,15.6,1366,768,2.5,4,1000,1.86,4.54,488.69
Notebook,15.6,1920,1080,1.6,8,256,2.1,7.91,879.0
Notebook,15.6,1920,1080,2.0,4,1000,2.0,4.54,389.0
Gaming,15.6,1920,1080,2.8,16,1256,2.65,46.7,1499.0
Notebook,15.6,1366,768,2.5,8,1000,2.3,8.62,522.99
Notebook,15.6,1920,1080,1.6,4,256,2.2,4.8,682.0
2 in 1 Convertible,17.3,1920,1080,1.6,12,1000,2.77,8.32,999.0
Ultrabook,13.3,2560,1600,2.0,8,256,1.37,7.52,1419.0
Notebook,15.6,1366,768,2.0,4,128,2.2,4.2,369.0
Gaming,17.3,1920,1080,3.0,8,1256,3.2,51.6,1299.0
Notebook,17.3,1366,768,1.1,4,1000,2.8,5.76,466.0
2 in 1 Convertible,10.1,1920,1200,1.44,4,64,0.69,3.18,319.0
Notebook,15.6,1920,1080,1.8,8,256,2.2,13.7,841.0
Notebook,15.6,1920,1080,2.5,4,256,1.86,2.31,398.49
Notebook,13.3,1920,1080,1.8,8,512,1.49,4.8,1103.0
Notebook,15.6,1366,768,2.4,4,1000,2.4,4.54,384.0
Notebook,15.6,1920,1080,1.8,8,256,2.13,4.96,767.8
Notebook,15.6,1920,1080,2.0,4,128,1.91,4.2,439.0
Notebook,15.6,1366,768,2.5,4,256,2.0,4.54,586.19
Gaming,17.3,1920,1080,2.8,16,2256,2.43,79.7,2449.0
Notebook,15.6,1920,1080,2.0,4,256,2.0,4.2,415.0
Notebook,17.3,1920,1080,1.8,16,2256,2.8,6.64,1299.0
Ultrabook,14.0,1920,1080,1.6,8,256,1.7,4.8,879.0
Notebook,14.0,1920,1080,2.7,8,256,1.7,4.54,599.0
Notebook,14.0,1920,1080,1.6,8,256,1.4,4.8,941.0
Notebook,15.6,1920,1080,2.5,8,256,1.86,4.54,690.0
Ultrabook,15.6,1920,1080,2.8,16,512,1.8,29.3,1983.0
